Player,Year,Share
Lionel Messi,15.0,0.4113
Lionel Messi,16.0,0.203
Lionel Messi,17.0,0.2379
Lionel Messi,18.0,0.0972
Lionel Messi,19.0,0.2436
Lionel Messi,21.0,0.2254
Lionel Messi,23.0,0.6278
Luis Díaz,22.0,0.0014
Luis Suárez,21.0,0.0029
Luis Suárez Díaz,11.0,0.0148
Luis Suárez Díaz,13.0,0.0039
Luis Suárez Díaz,15.0,0.0371
Luis Suárez Díaz,16.0,0.0584
Luis Suárez Díaz,17.0,0.0096
Luis Suárez Díaz,18.0,0.0059
Luka Modrić,16.0,0.0006
Luka Modrić,17.0,0.0298
Luka Modrić,18.0,0.2615
Luka Modrić,21.0,0.0
Luka Modrić,22.0,0.0134
Luka Modrić,23.0,0.0129
Luís Fabiano Clemente,9.0,0.0056
Maicon,9.0,0.0028
Maicon,10.0,0.0057
Manuel Neuer,12.0,0.0021
Manuel Neuer,13.0,0.0008
Manuel Neuer,14.0,0.1572
Manuel Neuer,15.0,0.0192
Manuel Neuer,16.0,0.0
Marcelo,17.0,0.0075
Marcelo,18.0,0.001
Marcos Senna,8.0,0.0111
Mario Balotelli,12.0,0.0007
Mario Götze,14.0,0.0084
Mario Mandžukić,18.0,0.0007
Martin Ødegaard,23.0,0.0
Mats Hummels,17.0,0.0011
Mesut Özil,10.0,0.0121
Mesut Özil,11.0,0.0076
Mesut Özil,12.0,0.0041
Mesut Özil,13.0,0.0071
Michael Ballack,8.0,0.0028
Mike Maignan,22.0,0.0
Miroslav Klose,10.0,0.0019
Mohamed Salah,18.0,0.0653
Mohamed Salah,19.0,0.0632
Mohamed Salah,21.0,0.0445
Mohamed Salah,22.0,0.078
Mohamed Salah,23.0,0.0088
N'Golo Kanté,18.0,0.0083
Nani,11.0,0.0026
Nemanja Vidić,8.0,0.0021
Nemanja Vidić,9.0,0.0056
Neymar,11.0,0.0112
Neymar,12.0,0.0061
Neymar,14.0,0.0221
Neymar,15.0,0.0751
Neymar,16.0,0.0437
Neymar,17.0,0.1282
Neymar,18.0,0.0066
Neymar,21.0,0.0033
Nicolò Barella,21.0,0.0004
Nicolò Barella,23.0,0.0
Paul Pogba,14.0,0.004
Paul Pogba,15.0,0.0072
Paul Pogba,16.0,0.0026
Paul Pogba,18.0,0.0031
Paulo Dybala,16.0,0.0
