Season,Competition,Club,Appearances,Goals,Assists,Yellow cards,Sesond yellow cards,Red cards,Minutes played,Player,Second yellow cards,Goals conceded,Clean sheets
00/01,Champions League,Arsenal FC,14,4,2,2,-,-,1189,Thierry Henry,,,
99/00,UEFA Cup,Arsenal FC,8,7,1,-,-,1,583,Thierry Henry,,,
99/00,Champions League,Arsenal FC,4,1,-,-,-,-,59,Thierry Henry,,,
99/00,UI Cup,Juventus FC,1,-,-,-,-,-,81,Thierry Henry,,,
98/99,UEFA Cup,AS Monaco,5,-,-,-,-,-,217,Thierry Henry,,,
97/98,Champions League,AS Monaco,9,7,1,-,-,-,570,Thierry Henry,,,
96/97,UEFA Cup,AS Monaco,9,1,1,2,-,-,363,Thierry Henry,,,
95/96,UEFA Cup,AS Monaco,1,-,-,-,-,-,19,Thierry Henry,,,
2015,Libertadores,São Paulo Futebol Clube,6,1,-,2,1,-,417,Luís Fabiano Clemente,,,
2014,Copa Sudamericana,São Paulo Futebol Clube,3,-,-,1,-,1,204,Luís Fabiano Clemente,,,
2013,Copa Sudamericana,São Paulo Futebol Clube,5,2,-,1,-,-,279,Luís Fabiano Clemente,,,
2013,Recopa Sudamericana,São Paulo Futebol Clube,2,-,1,-,-,-,180,Luís Fabiano Clemente,,,
2013,Libertadores,São Paulo Futebol Clube,6,5,1,1,-,-,506,Luís Fabiano Clemente,,,
2012,Copa Sudamericana,São Paulo Futebol Clube,5,1,-,1,-,1,290,Luís Fabiano Clemente,,,
2011,Copa Sudamericana,São Paulo Futebol Clube,2,1,-,1,-,-,136,Luís Fabiano Clemente,,,
10/11,Europa League,Sevilla FC,6,1,-,1,-,-,391,Luís Fabiano Clemente,,,
10/11,Champions League Qu.,Sevilla FC,2,1,-,-,-,-,180,Luís Fabiano Clemente,,,
09/10,Champions League,Sevilla FC,6,2,4,1,-,-,423,Luís Fabiano Clemente,,,
08/09,UEFA Cup,Sevilla FC,4,2,-,-,-,-,338,Luís Fabiano Clemente,,,
07/08,Champions League,Sevilla FC,8,4,2,-,-,-,494,Luís Fabiano Clemente,,,
07/08,Champions League Qu.,Sevilla FC,3,3,-,-,-,-,154,Luís Fabiano Clemente,,,
07/08,UEFA Super Cup,Sevilla FC,1,-,-,-,-,-,7,Luís Fabiano Clemente,,,
06/07,UEFA Cup,Sevilla FC,10,4,1,5,-,-,621,Luís Fabiano Clemente,,,
06/07,UEFA Super Cup,Sevilla FC,1,-,-,-,-,-,46,Luís Fabiano Clemente,,,
05/06,UEFA Cup,Sevilla FC,12,2,-,1,-,-,753,Luís Fabiano Clemente,,,
04/05,Champions League,FC Porto,4,-,-,1,-,-,221,Luís Fabiano Clemente,,,
04/05,Intercontinental Cup,FC Porto,1,-,-,-,-,-,78,Luís Fabiano Clemente,,,
2004,Libertadores,São Paulo Futebol Clube,12,8,1,2,-,-,1110,Luís Fabiano Clemente,,,
2003,Copa Sudamericana,São Paulo Futebol Clube,4,1,-,-,1,1,315,Luís Fabiano Clemente,,,
17/18,AFC Champions League,Kitchee,5,-,1,-,-,-,407,Diego Forlán,,,
2016,Libertadores,CA Peñarol,3,-,-,-,-,-,251,Diego Forlán,,,
13/14,AFC Champions League,Cerezo Osaka,6,2,1,1,-,-,393,Diego Forlán,,,
11/12,Champions League,FC Internazionale,2,-,-,-,-,-,148,Diego Forlán,,,
11/12,Europa League Qualifying,Atlético de Madrid,2,-,1,-,-,-,162,Diego Forlán,,,
10/11,Europa League,Atlético de Madrid,6,1,-,-,-,-,386,Diego Forlán,,,
10/11,UEFA Super Cup,Atlético de Madrid,1,-,-,-,-,-,82,Diego Forlán,,,
09/10,Europa League,Atlético de Madrid,9,6,-,2,-,-,687,Diego Forlán,,,
09/10,Champions League,Atlético de Madrid,6,-,-,1,-,-,536,Diego Forlán,,,
09/10,Champions League Qu.,Atlético de Madrid,2,1,2,-,-,-,172,Diego Forlán,,,
08/09,Champions League,Atlético de Madrid,7,1,1,-,-,-,443,Diego Forlán,,,
08/09,Champions League Qu.,Atlético de Madrid,2,1,-,1,-,-,162,Diego Forlán,,,
07/08,UEFA Cup,Atlético de Madrid,8,4,-,-,-,-,636,Diego Forlán,,,
07/08,UEFA-Cup Qualifikation,Atlético de Madrid,2,1,1,-,-,-,157,Diego Forlán,,,
07/08,UI Cup,Atlético de Madrid,1,1,-,-,-,-,90,Diego Forlán,,,
06/07,UI Cup,Villarreal CF,2,1,1,1,1,-,180,Diego Forlán,,,
05/06,Champions League,Villarreal CF,11,2,1,1,-,-,939,Diego Forlán,,,
05/06,Champions League Qu.,Villarreal CF,2,1,-,1,-,-,175,Diego Forlán,,,
04/05,Champions League Qu.,Manchester United,1,-,-,-,-,-,-,Diego Forlán,,,
03/04,Champions League,Manchester United,4,2,1,-,-,-,185,Diego Forlán,,,
02/03,Champions League,Manchester United,11,1,-,-,-,-,456,Diego Forlán,,,
02/03,Champions League Qu.,Manchester United,2,-,-,-,-,-,28,Diego Forlán,,,
01/02,Champions League,Manchester United,5,-,-,-,-,-,144,Diego Forlán,,,
13/14,Europa League,Olympique Lyon,4,-,1,-,-,-,301,Yoann Gourcuff,,,
13/14,Champions League Qu.,Olympique Lyon,4,-,-,-,-,-,212,Yoann Gourcuff,,,
12/13,Europa League,Olympique Lyon,3,1,2,1,-,-,205,Yoann Gourcuff,,,
11/12,Champions League,Olympique Lyon,5,-,-,-,-,-,355,Yoann Gourcuff,,,
10/11,Champions League,Olympique Lyon,7,1,1,1,-,-,543,Yoann Gourcuff,,,
09/10,Champions League,FC Girondins Bordeaux,8,2,2,1,-,-,676,Yoann Gourcuff,,,
08/09,UEFA Cup,FC Girondins Bordeaux,1,-,-,-,-,-,90,Yoann Gourcuff,,,
08/09,Champions League,FC Girondins Bordeaux,6,2,2,2,-,-,540,Yoann Gourcuff,,,
07/08,Champions League,AC Milan,3,-,-,-,-,-,95,Yoann Gourcuff,,,
07/08,Club World Cup,AC Milan,-,-,-,-,-,-,-,Yoann Gourcuff,,,
06/07,Champions League,AC Milan,8,1,-,-,-,-,447,Yoann Gourcuff,,,
06/07,Champions League Qu.,AC Milan,1,-,-,-,-,-,9,Yoann Gourcuff,,,
05/06,UEFA Cup,Stade Rennais FC,5,-,-,-,-,-,252,Yoann Gourcuff,,,
2018,Libertadores,CR Flamengo,-,-,,-,,-,-,Júlio César Soares Espíndola,-,-,-
17/18,Champions League,SL Benfica,1,-,,-,,-,90,Júlio César Soares Espíndola,-,5,-
16/17,Champions League,SL Benfica,1,-,,1,,-,90,Júlio César Soares Espíndola,-,4,-
15/16,Champions League,SL Benfica,7,-,,-,,-,630,Júlio César Soares Espíndola,-,8,2
14/15,Champions League,SL Benfica,3,-,,-,,-,270,Júlio César Soares Espíndola,-,4,1
11/12,Champions League,FC Internazionale,6,-,,-,,-,540,Júlio César Soares Espíndola,-,6,1
10/11,Champions League,FC Internazionale,7,-,,-,,-,586,Júlio César Soares Espíndola,-,15,1
10/11,Club World Cup,FC Internazionale,2,-,,-,,-,180,Júlio César Soares Espíndola,-,-,2
10/11,UEFA Super Cup,FC Internazionale,1,-,,-,,-,90,Júlio César Soares Espíndola,-,2,-
09/10,Champions League,FC Internazionale,13,-,,2,,-,1170,Júlio César Soares Espíndola,-,9,6
08/09,Champions League,FC Internazionale,7,-,,-,,-,630,Júlio César Soares Espíndola,-,9,2
07/08,Champions League,FC Internazionale,8,-,,-,,-,720,Júlio César Soares Espíndola,-,7,3
06/07,Champions League,FC Internazionale,6,-,,-,,-,540,Júlio César Soares Espíndola,-,5,3
05/06,Champions League,FC Internazionale,5,-,,1,,-,450,Júlio César Soares Espíndola,-,3,3
05/06,Champions League Qu.,FC Internazionale,2,-,,-,,-,180,Júlio César Soares Espíndola,-,1,1
2004,Copa Sudamericana,CR Flamengo,2,-,,-,,-,210,Júlio César Soares Espíndola,-,2,1
2003,Copa Sudamericana,CR Flamengo,1,-,,-,,-,90,Júlio César Soares Espíndola,-,3,-
2002,Libertadores,CR Flamengo,5,-,,-,,-,450,Júlio César Soares Espíndola,-,8,1
2001,Copa Mercosur,CR Flamengo,2,-,,-,,-,180,Júlio César Soares Espíndola,-,1,1
21/22,UECL Qualifiers,SP Tre Penne,2,-,-,-,-,-,129,Maicon,,,
15/16,Champions League,AS Roma,3,-,-,-,-,-,114,Maicon,,,
14/15,Champions League,AS Roma,3,1,-,1,-,-,257,Maicon,,,
12/13,Champions League,Manchester City,3,-,-,1,-,-,254,Maicon,,,
11/12,Champions League,FC Internazionale,3,-,-,-,-,-,226,Maicon,,,
10/11,Champions League,FC Internazionale,8,-,-,1,-,-,720,Maicon,,,
10/11,Club World Cup,FC Internazionale,1,-,-,-,-,-,90,Maicon,,,
10/11,UEFA Super Cup,FC Internazionale,1,-,-,-,-,-,90,Maicon,,,
09/10,Champions League,FC Internazionale,13,1,1,2,-,-,1153,Maicon,,,
08/09,Champions League,FC Internazionale,8,1,1,2,-,-,720,Maicon,,,
07/08,Champions League,FC Internazionale,5,-,1,-,-,-,375,Maicon,,,
06/07,Champions League,FC Internazionale,8,1,-,2,-,-,720,Maicon,,,
05/06,UEFA Cup,AS Monaco,5,1,1,-,-,-,450,Maicon,,,
05/06,Champions League Qu.,AS Monaco,2,-,-,-,-,-,180,Maicon,,,
04/05,Champions League,AS Monaco,7,1,-,1,-,-,630,Maicon,,,
04/05,Champions League Qu.,AS Monaco,2,-,-,-,-,-,180,Maicon,,,
2004,Libertadores,Cruzeiro Esporte Clube,5,1,2,-,-,-,450,Maicon,,,
2003,Copa Sudamericana,Cruzeiro Esporte Clube,2,-,-,-,-,-,180,Maicon,,,
2001,Libertadores,Cruzeiro Esporte Clube,2,-,-,-,-,-,145,Maicon,,,
2022,Libertadores,CR Flamengo,6,-,-,1,-,-,108,Diego Ribas da Cunha,,,
2021,Libertadores,CR Flamengo,9,-,1,3,-,-,726,Diego Ribas da Cunha,,,
2020,Libertadores,CR Flamengo,6,-,1,-,-,-,165,Diego Ribas da Cunha,,,
2020,Recopa Sudamericana,CR Flamengo,1,-,-,-,-,-,46,Diego Ribas da Cunha,,,
19/20,Club World Cup,CR Flamengo,2,-,-,2,-,-,54,Diego Ribas da Cunha,,,
2019,Libertadores,CR Flamengo,9,1,1,2,-,-,486,Diego Ribas da Cunha,,,
2018,Libertadores,CR Flamengo,7,-,4,4,-,-,627,Diego Ribas da Cunha,,,
2017,Copa Sudamericana,CR Flamengo,8,1,1,3,-,-,693,Diego Ribas da Cunha,,,
2017,Libertadores,CR Flamengo,3,2,2,1,-,-,246,Diego Ribas da Cunha,,,
2016,Copa Sudamericana,CR Flamengo,1,-,-,-,-,-,90,Diego Ribas da Cunha,,,
15/16,Europa League,Fenerbahce,6,-,-,-,-,1,420,Diego Ribas da Cunha,,,
15/16,Europa League Qualifying,Fenerbahce,2,-,-,-,-,-,157,Diego Ribas da Cunha,,,
15/16,Champions League Qu.,Fenerbahce,2,-,-,-,-,-,174,Diego Ribas da Cunha,,,
13/14,Champions League,Atlético de Madrid,4,1,-,1,-,-,158,Diego Ribas da Cunha,,,
11/12,Europa League,Atlético de Madrid,12,3,9,3,-,-,950,Diego Ribas da Cunha,,,
10/11,Europa League Qualifying,Juventus FC,3,-,2,-,-,-,200,Diego Ribas da Cunha,,,
09/10,Europa League,Juventus FC,4,-,3,2,-,-,331,Diego Ribas da Cunha,,,
09/10,Champions League,Juventus FC,5,-,1,-,-,-,395,Diego Ribas da Cunha,,,
08/09,UEFA Cup,SV Werder Bremen,8,6,1,2,-,-,698,Diego Ribas da Cunha,,,
08/09,Champions League,SV Werder Bremen,5,1,-,3,-,-,450,Diego Ribas da Cunha,,,
07/08,UEFA Cup,SV Werder Bremen,3,1,-,-,-,-,254,Diego Ribas da Cunha,,,
07/08,Champions League,SV Werder Bremen,5,1,1,2,1,-,450,Diego Ribas da Cunha,,,
07/08,Champions League Qu.,SV Werder Bremen,2,2,1,-,-,-,180,Diego Ribas da Cunha,,,
06/07,UEFA Cup,SV Werder Bremen,8,1,2,1,-,-,639,Diego Ribas da Cunha,,,
06/07,Champions League,SV Werder Bremen,6,1,-,1,-,-,540,Diego Ribas da Cunha,,,
05/06,Champions League,FC Porto,4,1,-,1,-,-,250,Diego Ribas da Cunha,,,
04/05,Champions League,FC Porto,6,1,-,1,-,-,505,Diego Ribas da Cunha,,,
04/05,Intercontinental Cup,FC Porto,1,-,-,1,1,-,120,Diego Ribas da Cunha,,,
2004,Libertadores,Santos FC,9,4,-,2,-,-,658,Diego Ribas da Cunha,,,
2003,Copa Sudamericana,Santos FC,4,-,-,1,-,-,340,Diego Ribas da Cunha,,,
2003,Libertadores,Santos FC,14,4,-,4,-,-,1247,Diego Ribas da Cunha,,,
15/16,Champions League,Chelsea FC,4,-,-,-,-,-,341,John Terry,,,
14/15,Champions League,Chelsea FC,7,2,2,1,-,-,660,John Terry,,,
13/14,Champions League,Chelsea FC,11,-,1,1,-,-,973,John Terry,,,
13/14,UEFA Super Cup,Chelsea FC,1,-,-,-,-,-,7,John Terry,,,
12/13,Europa League,Chelsea FC,6,1,-,1,-,-,540,John Terry,,,
12/13,Club World Cup,Chelsea FC,-,-,-,-,-,-,-,John Terry,,,
12/13,Champions League,Chelsea FC,2,-,-,-,-,-,180,John Terry,,,
11/12,Champions League,Chelsea FC,8,1,-,-,-,1,644,John Terry,,,
10/11,Champions League,Chelsea FC,8,1,1,2,-,-,702,John Terry,,,
09/10,Champions League,Chelsea FC,8,-,-,2,-,-,720,John Terry,,,
08/09,Champions League,Chelsea FC,11,2,-,3,-,-,990,John Terry,,,
07/08,Champions League,Chelsea FC,10,-,-,2,-,-,960,John Terry,,,
06/07,Champions League,Chelsea FC,10,-,1,3,-,-,853,John Terry,,,
05/06,Champions League,Chelsea FC,8,-,1,2,-,-,720,John Terry,,,
04/05,Champions League,Chelsea FC,11,4,-,-,-,-,990,John Terry,,,
03/04,Champions League,Chelsea FC,11,-,-,2,-,-,990,John Terry,,,
03/04,Champions League Qu.,Chelsea FC,2,-,-,-,-,-,180,John Terry,,,
02/03,UEFA Cup,Chelsea FC,1,1,-,-,-,-,90,John Terry,,,
01/02,UEFA Cup,Chelsea FC,4,1,-,1,-,-,360,John Terry,,,
00/01,UEFA Cup,Chelsea FC,-,-,-,-,-,-,-,John Terry,,,
98/99,Cup Winners' Cup,Chelsea FC,1,-,-,-,-,-,90,John Terry,,,
18/19,Europa League,Olympiacos Piraeus,2,-,-,-,-,-,110,Yaya Touré,,,
17/18,Champions League,Manchester City,3,-,-,-,-,-,255,Yaya Touré,,,
16/17,Champions League,Manchester City,1,-,1,-,-,-,90,Yaya Touré,,,
16/17,Champions League Qu.,Manchester City,1,-,-,-,-,-,90,Yaya Touré,,,
15/16,Champions League,Manchester City,10,1,2,-,-,-,743,Yaya Touré,,,
14/15,Champions League,Manchester City,5,1,-,1,-,1,424,Yaya Touré,,,
13/14,Champions League,Manchester City,7,1,-,3,-,-,556,Yaya Touré,,,
12/13,Champions League,Manchester City,5,1,1,3,-,-,450,Yaya Touré,,,
11/12,Europa League,Manchester City,3,-,3,3,-,-,270,Yaya Touré,,,
11/12,Champions League,Manchester City,6,3,-,1,-,-,515,Yaya Touré,,,
10/11,Europa League,Manchester City,7,1,1,1,-,-,555,Yaya Touré,,,
10/11,Europa League Qualifying,Manchester City,1,-,-,-,-,-,90,Yaya Touré,,,
09/10,Champions League,FC Barcelona,8,-,2,1,-,-,605,Yaya Touré,,,
09/10,Club World Cup,FC Barcelona,2,-,1,-,-,-,94,Yaya Touré,,,
09/10,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,100,Yaya Touré,,,
08/09,Champions League,FC Barcelona,10,-,-,1,-,-,802,Yaya Touré,,,
08/09,Champions League Qu.,FC Barcelona,2,-,-,-,-,-,115,Yaya Touré,,,
07/08,Champions League,FC Barcelona,9,1,-,3,-,-,761,Yaya Touré,,,
05/06,Champions League,Olympiacos Piraeus,6,-,1,1,-,-,540,Yaya Touré,,,
04/05,UEFA Cup,Metalurg Donetsk (- 2015),2,-,-,-,-,-,180,Yaya Touré,,,
04/05,UEFA-Cup Qualifikation,Metalurg Donetsk (- 2015),2,1,-,-,-,-,115,Yaya Touré,,,
17/18,AFC Champions League,Al-Gharafa SC,5,1,1,1,-,-,435,Wesley Sneijder,,,
17/18,AFC CL-Qualification,Al-Gharafa SC,1,1,-,-,-,-,90,Wesley Sneijder,,,
17/18,Europa League,OGC Nice,2,-,1,-,-,-,156,Wesley Sneijder,,,
17/18,Champions League Qu.,OGC Nice,1,-,-,-,-,-,90,Wesley Sneijder,,,
15/16,Europa League,Galatasaray,2,-,-,-,-,-,179,Wesley Sneijder,,,
15/16,Champions League,Galatasaray,6,-,1,-,-,-,540,Wesley Sneijder,,,
14/15,Champions League,Galatasaray,6,1,1,1,-,-,540,Wesley Sneijder,,,
13/14,Champions League,Galatasaray,7,2,1,1,-,-,540,Wesley Sneijder,,,
12/13,Champions League,Galatasaray,4,1,1,1,-,-,252,Wesley Sneijder,,,
12/13,Europa League,FC Internazionale,-,-,-,-,-,-,-,Wesley Sneijder,,,
12/13,Europa League Qualifying,FC Internazionale,3,1,2,-,-,-,231,Wesley Sneijder,,,
11/12,Champions League,FC Internazionale,5,-,1,-,-,-,372,Wesley Sneijder,,,
10/11,Champions League,FC Internazionale,9,3,2,1,-,-,797,Wesley Sneijder,,,
10/11,Club World Cup,FC Internazionale,1,-,-,-,-,-,4,Wesley Sneijder,,,
10/11,UEFA Super Cup,FC Internazionale,1,-,-,-,-,-,79,Wesley Sneijder,,,
09/10,Champions League,FC Internazionale,11,3,6,-,-,-,948,Wesley Sneijder,,,
08/09,Champions League,Real Madrid,4,-,-,-,-,-,333,Wesley Sneijder,,,
07/08,Champions League,Real Madrid,5,-,1,-,-,-,396,Wesley Sneijder,,,
06/07,UEFA Cup,Ajax Amsterdam,7,1,1,3,-,-,575,Wesley Sneijder,,,
06/07,Champions League Qu.,Ajax Amsterdam,2,-,-,1,-,-,180,Wesley Sneijder,,,
05/06,Champions League,Ajax Amsterdam,5,2,2,-,-,-,449,Wesley Sneijder,,,
05/06,Champions League Qu.,Ajax Amsterdam,2,2,-,-,-,-,46,Wesley Sneijder,,,
04/05,UEFA Cup,Ajax Amsterdam,1,-,-,1,-,-,79,Wesley Sneijder,,,
04/05,Champions League,Ajax Amsterdam,6,-,3,2,-,-,432,Wesley Sneijder,,,
03/04,Champions League,Ajax Amsterdam,5,-,-,-,-,-,350,Wesley Sneijder,,,
03/04,Champions League Qu.,Ajax Amsterdam,2,1,-,1,-,-,164,Wesley Sneijder,,,
02/03,Champions League,Ajax Amsterdam,3,-,-,-,-,-,113,Wesley Sneijder,,,
16/17,Champions League,Bayern Munich,7,-,1,2,-,-,589,Xabi Alonso,,,
15/16,Champions League,Bayern Munich,8,1,-,-,-,-,656,Xabi Alonso,,,
14/15,Champions League,Bayern Munich,10,2,1,4,1,-,841,Xabi Alonso,,,
13/14,Champions League,Real Madrid,9,-,1,3,-,-,657,Xabi Alonso,,,
12/13,Champions League,Real Madrid,10,-,1,3,-,-,861,Xabi Alonso,,,
11/12,Champions League,Real Madrid,10,-,1,4,-,-,827,Xabi Alonso,,,
10/11,Champions League,Real Madrid,11,-,-,3,1,-,965,Xabi Alonso,,,
09/10,Champions League,Real Madrid,7,-,-,3,-,-,586,Xabi Alonso,,,
08/09,Champions League,Liverpool FC,8,1,1,-,-,-,675,Xabi Alonso,,,
08/09,Champions League Qu.,Liverpool FC,2,-,-,1,-,-,210,Xabi Alonso,,,
07/08,Champions League,Liverpool FC,4,-,-,1,-,-,376,Xabi Alonso,,,
06/07,Champions League,Liverpool FC,13,-,-,1,-,-,928,Xabi Alonso,,,
06/07,Champions League Qu.,Liverpool FC,2,-,-,1,-,-,180,Xabi Alonso,,,
05/06,Champions League,Liverpool FC,6,-,-,3,-,-,540,Xabi Alonso,,,
05/06,Club World Cup,Liverpool FC,2,-,-,-,-,-,169,Xabi Alonso,,,
05/06,UEFA Super Cup,Liverpool FC,1,-,-,-,-,-,70,Xabi Alonso,,,
05/06,Champions League Qu.,Liverpool FC,4,-,-,-,-,-,313,Xabi Alonso,,,
04/05,Champions League,Liverpool FC,8,1,-,3,-,-,660,Xabi Alonso,,,
03/04,Champions League,Real Sociedad,8,1,1,2,-,-,694,Xabi Alonso,,,
13/14,Champions League,FC Barcelona,1,-,-,-,-,-,68,Carles Puyol,,,
12/13,Champions League,FC Barcelona,4,-,-,-,-,-,270,Carles Puyol,,,
11/12,Champions League,FC Barcelona,9,-,-,2,-,-,743,Carles Puyol,,,
11/12,Club World Cup,FC Barcelona,2,-,-,-,-,-,174,Carles Puyol,,,
10/11,Champions League,FC Barcelona,8,-,-,1,-,-,632,Carles Puyol,,,
09/10,Champions League,FC Barcelona,9,-,-,3,-,1,804,Carles Puyol,,,
09/10,Club World Cup,FC Barcelona,2,-,-,-,-,-,210,Carles Puyol,,,
09/10,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,120,Carles Puyol,,,
08/09,Champions League,FC Barcelona,9,-,-,3,-,-,757,Carles Puyol,,,
08/09,Champions League Qu.,FC Barcelona,2,-,-,-,-,-,180,Carles Puyol,,,
07/08,Champions League,FC Barcelona,10,1,-,3,-,-,862,Carles Puyol,,,
06/07,Champions League,FC Barcelona,8,1,-,1,-,-,704,Carles Puyol,,,
06/07,Club World Cup,FC Barcelona,2,-,-,-,-,-,180,Carles Puyol,,,
06/07,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,90,Carles Puyol,,,
05/06,Champions League,FC Barcelona,12,-,-,4,-,-,1080,Carles Puyol,,,
04/05,Champions League,FC Barcelona,8,-,-,1,-,-,676,Carles Puyol,,,
03/04,UEFA Cup,FC Barcelona,7,-,-,-,-,-,574,Carles Puyol,,,
02/03,Champions League,FC Barcelona,12,-,-,1,-,-,1069,Carles Puyol,,,
02/03,Champions League Qu.,FC Barcelona,2,-,-,-,-,-,173,Carles Puyol,,,
01/02,Champions League,FC Barcelona,14,-,1,5,-,-,1221,Carles Puyol,,,
01/02,Champions League Qu.,FC Barcelona,1,-,-,-,-,-,90,Carles Puyol,,,
00/01,UEFA Cup,FC Barcelona,2,-,-,-,-,-,180,Carles Puyol,,,
00/01,Champions League,FC Barcelona,3,-,-,-,-,-,270,Carles Puyol,,,
99/00,Champions League,FC Barcelona,8,-,-,1,-,-,490,Carles Puyol,,,
97/98,Champions League,FC Barcelona,-,-,-,-,-,-,-,Carles Puyol,,,
22/23,Conference League,Basaksehir FK,1,-,-,-,-,-,8,Mesut Özil,,,
22/23,UECL Qualifiers,Basaksehir FK,1,-,-,-,-,-,3,Mesut Özil,,,
21/22,Europa League,Fenerbahce,2,1,-,-,-,-,142,Mesut Özil,,,
21/22,Europa League Qualifying,Fenerbahce,2,-,-,-,-,-,135,Mesut Özil,,,
19/20,Europa League,Arsenal FC,2,-,-,-,-,-,150,Mesut Özil,,,
18/19,Europa League,Arsenal FC,10,1,1,1,-,-,653,Mesut Özil,,,
17/18,Europa League,Arsenal FC,7,1,5,-,-,-,609,Mesut Özil,,,
16/17,Champions League,Arsenal FC,8,4,3,-,-,-,627,Mesut Özil,,,
15/16,Champions League,Arsenal FC,8,2,-,2,-,-,720,Mesut Özil,,,
14/15,Champions League,Arsenal FC,4,-,1,2,-,-,319,Mesut Özil,,,
14/15,Champions League Qu.,Arsenal FC,1,-,-,-,-,-,76,Mesut Özil,,,
13/14,Champions League,Arsenal FC,8,1,2,1,-,-,668,Mesut Özil,,,
12/13,Champions League,Real Madrid,10,1,4,1,-,-,722,Mesut Özil,,,
11/12,Champions League,Real Madrid,10,2,5,-,-,-,806,Mesut Özil,,,
10/11,Champions League,Real Madrid,11,1,7,-,-,-,801,Mesut Özil,,,
09/10,Europa League,SV Werder Bremen,8,-,7,-,-,-,662,Mesut Özil,,,
09/10,Europa League Qualifying,SV Werder Bremen,2,1,4,-,-,-,162,Mesut Özil,,,
08/09,UEFA Cup,SV Werder Bremen,8,-,3,1,-,-,735,Mesut Özil,,,
08/09,Champions League,SV Werder Bremen,6,-,4,1,-,-,530,Mesut Özil,,,
07/08,UEFA Cup,SV Werder Bremen,2,-,-,-,-,-,74,Mesut Özil,,,
07/08,Champions League,FC Schalke 04,4,-,-,1,-,-,265,Mesut Özil,,,
06/07,UEFA Cup,FC Schalke 04,1,-,-,-,-,-,78,Mesut Özil,,,
18/19,Champions League,Bayern Munich,4,2,1,1,-,-,314,Arjen Robben,,,
17/18,Champions League,Bayern Munich,9,-,1,-,-,-,494,Arjen Robben,,,
16/17,Champions League,Bayern Munich,8,3,3,1,-,-,634,Arjen Robben,,,
15/16,Champions League,Bayern Munich,3,2,1,-,-,-,159,Arjen Robben,,,
14/15,Champions League,Bayern Munich,7,2,1,-,-,-,428,Arjen Robben,,,
13/14,Champions League,Bayern Munich,10,4,6,-,-,-,877,Arjen Robben,,,
13/14,UEFA Super Cup,Bayern Munich,1,-,-,-,-,-,96,Arjen Robben,,,
12/13,Champions League,Bayern Munich,9,4,2,1,-,-,731,Arjen Robben,,,
11/12,Champions League,Bayern Munich,8,4,2,2,-,-,669,Arjen Robben,,,
11/12,Champions League Qu.,Bayern Munich,1,1,1,-,-,-,90,Arjen Robben,,,
10/11,Champions League,Bayern Munich,2,-,2,-,-,-,158,Arjen Robben,,,
09/10,Champions League,Bayern Munich,10,4,-,-,-,-,691,Arjen Robben,,,
08/09,Champions League,Real Madrid,6,1,1,-,-,-,405,Arjen Robben,,,
07/08,Champions League,Real Madrid,5,-,-,-,-,-,222,Arjen Robben,,,
06/07,Champions League,Chelsea FC,8,1,1,2,-,-,350,Arjen Robben,,,
05/06,Champions League,Chelsea FC,6,-,-,2,-,-,439,Arjen Robben,,,
04/05,Champions League,Chelsea FC,5,1,-,-,-,-,223,Arjen Robben,,,
03/04,UEFA Cup,PSV Eindhoven,2,-,1,-,-,-,125,Arjen Robben,,,
03/04,Champions League,PSV Eindhoven,6,2,3,2,-,-,479,Arjen Robben,,,
02/03,Champions League,PSV Eindhoven,4,1,-,-,-,-,239,Arjen Robben,,,
23/24,Champions League,Bayern Munich,5,-,1,-,-,-,179,Thomas Müller,,,
22/23,Champions League,Bayern Munich,8,1,1,-,-,-,363,Thomas Müller,,,
21/22,Champions League,Bayern Munich,10,4,4,-,-,-,779,Thomas Müller,,,
20/21,Champions League,Bayern Munich,9,2,3,2,-,-,633,Thomas Müller,,,
20/21,Club World Cup,Bayern Munich,1,-,-,-,-,-,62,Thomas Müller,,,
20/21,UEFA Super Cup,Bayern Munich,1,-,-,-,-,-,120,Thomas Müller,,,
19/20,Champions League,Bayern Munich,10,4,3,1,-,-,709,Thomas Müller,,,
18/19,Champions League,Bayern Munich,6,-,1,-,-,1,353,Thomas Müller,,,
17/18,Champions League,Bayern Munich,10,3,2,1,-,-,734,Thomas Müller,,,
16/17,Champions League,Bayern Munich,9,3,-,-,-,-,462,Thomas Müller,,,
15/16,Champions League,Bayern Munich,12,8,3,1,-,-,925,Thomas Müller,,,
14/15,Champions League,Bayern Munich,10,7,3,-,-,-,778,Thomas Müller,,,
13/14,Champions League,Bayern Munich,12,5,1,-,-,-,708,Thomas Müller,,,
13/14,Club World Cup,Bayern Munich,1,-,-,-,-,-,76,Thomas Müller,,,
13/14,UEFA Super Cup,Bayern Munich,1,-,-,-,-,-,71,Thomas Müller,,,
12/13,Champions League,Bayern Munich,13,8,2,1,-,-,1045,Thomas Müller,,,
11/12,Champions League,Bayern Munich,12,2,2,2,-,-,717,Thomas Müller,,,
11/12,Champions League Qu.,Bayern Munich,2,-,1,-,-,-,105,Thomas Müller,,,
10/11,Champions League,Bayern Munich,8,3,4,-,-,-,620,Thomas Müller,,,
