Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
07/08,FA Cup,Manchester United,-,-,-,-,-,1,2,-,-,3,Cristiano Ronaldo
06/07,Premier League,Manchester United,2,1,4,-,4,1,5,-,-,17,Cristiano Ronaldo
06/07,Champions League,Manchester United,1,-,1,-,1,-,-,-,-,3,Cristiano Ronaldo
06/07,FA Cup,Manchester United,-,1,-,-,-,1,1,-,-,3,Cristiano Ronaldo
05/06,Premier League,Manchester United,1,1,2,-,-,2,3,-,-,9,Cristiano Ronaldo
05/06,EFL Cup,Manchester United,1,-,-,-,1,-,-,-,-,2,Cristiano Ronaldo
05/06,Champions League Qu.,Manchester United,-,-,-,-,-,1,-,-,-,1,Cristiano Ronaldo
04/05,FA Cup,Manchester United,1,-,-,1,1,-,1,-,-,4,Cristiano Ronaldo
04/05,Premier League,Manchester United,1,1,-,-,2,-,1,-,-,5,Cristiano Ronaldo
03/04,FA Cup,Manchester United,-,-,1,-,-,1,-,-,-,2,Cristiano Ronaldo
03/04,Premier League,Manchester United,1,-,-,-,1,-,2,-,-,4,Cristiano Ronaldo
02/03,Taça de Portugal,Sporting CP,1,-,-,-,-,1,-,-,-,2,Cristiano Ronaldo
02/03,Liga Portugal,Sporting CP,-,-,1,-,-,-,1,1,-,3,Cristiano Ronaldo
2023,MLS,Inter Miami CF,-,-,-,-,-,-,1,-,-,1,Lionel Messi
2023,Leagues Cup,Inter Miami CF,3,3,-,-,-,1,2,1,-,10,Lionel Messi
22/23,Ligue 1,Paris Saint-Germain,2,4,1,-,3,2,3,1,-,16,Lionel Messi
22/23,Champions League,Paris Saint-Germain,-,2,2,-,-,-,-,-,-,4,Lionel Messi
22/23,Trophée des Champions,Paris Saint-Germain,-,1,-,-,-,-,-,-,-,1,Lionel Messi
21/22,Ligue 1,Paris Saint-Germain,1,1,1,-,-,2,1,-,-,6,Lionel Messi
21/22,Champions League,Paris Saint-Germain,-,-,1,-,-,3,1,-,-,5,Lionel Messi
20/21,LaLiga,FC Barcelona,2,4,6,2,4,7,5,-,-,30,Lionel Messi
20/21,Copa del Rey,FC Barcelona,-,-,-,-,-,3,-,-,-,3,Lionel Messi
20/21,Champions League,FC Barcelona,1,2,1,-,-,-,-,1,-,5,Lionel Messi
19/20,Champions League,FC Barcelona,1,1,1,-,-,-,-,-,-,3,Lionel Messi
19/20,LaLiga,FC Barcelona,1,2,6,1,3,5,6,1,-,25,Lionel Messi
19/20,Copa del Rey,FC Barcelona,-,-,-,-,1,-,1,-,-,2,Lionel Messi
19/20,Supercopa,FC Barcelona,-,-,-,-,1,-,-,-,-,1,Lionel Messi
18/19,Copa del Rey,FC Barcelona,-,-,-,-,1,1,-,1,-,3,Lionel Messi
18/19,LaLiga,FC Barcelona,1,7,6,1,4,9,5,3,-,36,Lionel Messi
18/19,Champions League,FC Barcelona,-,3,1,-,1,2,5,-,-,12,Lionel Messi
17/18,LaLiga,FC Barcelona,1,8,6,-,3,6,10,-,-,34,Lionel Messi
17/18,Copa del Rey,FC Barcelona,2,1,1,-,-,-,-,-,-,4,Lionel Messi
17/18,Champions League,FC Barcelona,1,-,1,-,-,4,-,-,-,6,Lionel Messi
17/18,Supercopa,FC Barcelona,-,-,-,-,-,-,1,-,-,1,Lionel Messi
16/17,Copa del Rey,FC Barcelona,-,1,1,-,2,-,1,-,-,5,Lionel Messi
16/17,LaLiga,FC Barcelona,4,4,8,-,8,4,5,4,-,37,Lionel Messi
16/17,Champions League,FC Barcelona,1,5,-,-,3,2,-,-,-,11,Lionel Messi
16/17,Supercopa,FC Barcelona,-,-,-,-,1,-,-,-,-,1,Lionel Messi
15/16,LaLiga,FC Barcelona,5,4,6,-,3,4,3,1,-,26,Lionel Messi
15/16,Champions League,FC Barcelona,-,2,-,-,1,1,2,-,-,6,Lionel Messi
15/16,Copa del Rey,FC Barcelona,1,1,1,-,1,1,-,-,-,5,Lionel Messi
15/16,Club World Cup,FC Barcelona,-,-,1,-,-,-,-,-,-,1,Lionel Messi
15/16,Supercopa,FC Barcelona,-,-,1,-,-,-,-,-,-,1,Lionel Messi
15/16,UEFA Super Cup,FC Barcelona,1,1,-,-,-,-,-,-,-,2,Lionel Messi
14/15,Copa del Rey,FC Barcelona,-,1,2,-,-,1,1,-,-,5,Lionel Messi
14/15,LaLiga,FC Barcelona,5,2,6,1,9,10,9,1,-,43,Lionel Messi
14/15,Champions League,FC Barcelona,1,2,2,-,1,-,4,-,-,10,Lionel Messi
13/14,LaLiga,FC Barcelona,4,5,7,-,2,5,5,-,-,28,Lionel Messi
13/14,Champions League,FC Barcelona,-,3,-,-,2,2,1,-,-,8,Lionel Messi
13/14,Copa del Rey,FC Barcelona,-,1,1,-,-,1,1,1,-,5,Lionel Messi
12/13,LaLiga,FC Barcelona,6,8,5,-,13,8,6,-,-,46,Lionel Messi
12/13,Champions League,FC Barcelona,1,1,3,-,-,1,1,1,-,8,Lionel Messi
