Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
22/23,Coupe de France,Paris Saint-Germain,-,-,-,1,-,-,-,-,,1,Sergio Ramos
22/23,Trophée des Champions,Paris Saint-Germain,-,-,-,-,1,-,-,-,,1,Sergio Ramos
21/22,Ligue 1,Paris Saint-Germain,-,-,-,1,-,1,-,-,,2,Sergio Ramos
20/21,Champions League,Real Madrid,-,-,1,-,1,-,-,-,,2,Sergio Ramos
20/21,LaLiga,Real Madrid,-,-,-,-,-,1,1,-,,2,Sergio Ramos
19/20,LaLiga,Real Madrid,1,3,1,-,3,2,1,-,,11,Sergio Ramos
19/20,Champions League,Real Madrid,1,-,-,-,1,-,-,-,,2,Sergio Ramos
18/19,LaLiga,Real Madrid,1,-,2,-,-,1,2,-,,6,Sergio Ramos
18/19,Copa del Rey,Real Madrid,-,-,2,-,-,-,1,-,,3,Sergio Ramos
18/19,Club World Cup,Real Madrid,-,-,-,-,-,-,1,-,,1,Sergio Ramos
18/19,UEFA Super Cup,Real Madrid,-,-,-,-,-,1,-,-,,1,Sergio Ramos
17/18,LaLiga,Real Madrid,1,-,-,-,1,-,1,1,,4,Sergio Ramos
17/18,Champions League,Real Madrid,-,-,-,-,-,1,-,-,,1,Sergio Ramos
16/17,LaLiga,Real Madrid,-,-,2,1,1,-,2,1,,7,Sergio Ramos
16/17,Champions League,Real Madrid,-,-,-,-,1,-,-,-,,1,Sergio Ramos
16/17,Copa del Rey,Real Madrid,-,-,-,-,-,-,1,-,,1,Sergio Ramos
16/17,UEFA Super Cup,Real Madrid,-,-,-,-,-,-,-,1,,1,Sergio Ramos
15/16,Champions League,Real Madrid,1,-,-,-,-,-,-,-,,1,Sergio Ramos
15/16,LaLiga,Real Madrid,-,2,-,-,-,-,-,-,,2,Sergio Ramos
14/15,LaLiga,Real Madrid,1,1,2,-,-,-,-,-,,4,Sergio Ramos
14/15,Copa del Rey,Real Madrid,-,1,-,-,-,-,-,-,,1,Sergio Ramos
14/15,Club World Cup,Real Madrid,1,-,1,-,-,-,-,-,,2,Sergio Ramos
13/14,Champions League,Real Madrid,-,2,-,-,-,-,-,1,,3,Sergio Ramos
13/14,LaLiga,Real Madrid,-,-,1,-,2,1,-,-,,4,Sergio Ramos
12/13,Champions League,Real Madrid,-,-,-,-,-,-,1,-,,1,Sergio Ramos
12/13,LaLiga,Real Madrid,1,1,-,-,1,-,1,-,,4,Sergio Ramos
11/12,LaLiga,Real Madrid,-,1,1,-,-,1,-,-,,3,Sergio Ramos
11/12,Champions League,Real Madrid,-,-,-,-,-,-,1,-,,1,Sergio Ramos
10/11,LaLiga,Real Madrid,-,1,-,-,1,1,-,-,,3,Sergio Ramos
10/11,Copa del Rey,Real Madrid,1,-,-,-,-,-,-,-,,1,Sergio Ramos
09/10,LaLiga,Real Madrid,1,-,1,-,-,1,1,-,,4,Sergio Ramos
08/09,LaLiga,Real Madrid,-,-,1,-,2,1,-,-,,4,Sergio Ramos
08/09,Champions League,Real Madrid,1,-,-,-,-,-,-,-,,1,Sergio Ramos
08/09,Supercopa,Real Madrid,-,-,-,-,-,-,1,-,,1,Sergio Ramos
07/08,LaLiga,Real Madrid,-,2,-,-,-,1,2,-,,5,Sergio Ramos
07/08,Supercopa,Real Madrid,-,-,-,-,-,-,1,-,,1,Sergio Ramos
06/07,LaLiga,Real Madrid,2,1,-,-,-,2,-,-,,5,Sergio Ramos
06/07,Champions League,Real Madrid,1,-,-,-,-,-,-,-,,1,Sergio Ramos
05/06,LaLiga,Real Madrid,-,-,2,-,-,1,1,-,,4,Sergio Ramos
05/06,Copa del Rey,Real Madrid,-,-,-,-,-,1,-,-,,1,Sergio Ramos
05/06,Champions League,Real Madrid,1,-,-,-,-,-,-,-,,1,Sergio Ramos
04/05,LaLiga,Sevilla FC,-,1,1,-,-,-,-,-,,2,Sergio Ramos
04/05,UEFA Cup,Sevilla FC,-,-,-,-,-,-,1,-,,1,Sergio Ramos
14/15,Serie A,Inter Milan,-,-,-,-,-,-,1,-,,1,Nemanja Vidić
13/14,Champions League,Manchester United,-,-,-,-,1,-,-,-,,1,Nemanja Vidić
13/14,EFL Cup,Manchester United,-,-,-,-,1,-,-,-,,1,Nemanja Vidić
12/13,Premier League,Manchester United,-,-,-,-,1,-,-,-,,1,Nemanja Vidić
10/11,Premier League,Manchester United,-,1,1,-,1,1,1,-,,5,Nemanja Vidić
09/10,Premier League,Manchester United,-,-,1,-,-,-,-,-,,1,Nemanja Vidić
08/09,Champions League,Manchester United,1,-,-,-,-,-,-,-,,1,Nemanja Vidić
08/09,Premier League,Manchester United,-,-,-,1,2,-,-,1,,4,Nemanja Vidić
08/09,Club World Cup,Manchester United,-,1,-,-,-,-,-,-,,1,Nemanja Vidić
08/09,UEFA Super Cup,Manchester United,-,-,-,-,-,1,-,-,,1,Nemanja Vidić
07/08,Premier League,Manchester United,-,-,-,-,-,-,1,-,,1,Nemanja Vidić
06/07,Premier League,Manchester United,-,-,-,-,1,2,-,-,,3,Nemanja Vidić
06/07,Champions League,Manchester United,-,-,-,1,-,-,-,-,,1,Nemanja Vidić
04/05,Premier Liga,Spartak Moscow,1,-,-,-,-,-,1,-,,2,Nemanja Vidić
03/04,Premier Liga,Spartak Moscow,-,-,2,-,-,-,-,-,,2,Nemanja Vidić
03/04,UEFA Cup,Red Star Belgrade,1,-,-,-,-,-,1,-,,2,Nemanja Vidić
03/04,UEFA-Cup Qualifikation,Red Star Belgrade,-,-,1,-,-,-,-,-,,1,Nemanja Vidić
2018,USLC Playoffs,Phoenix Rising FC,-,1,-,-,-,1,-,1,-,3,Didier Drogba
2018,USLC,Phoenix Rising FC,1,-,-,-,-,2,1,-,-,4,Didier Drogba
2017,USLC Playoffs,Arizona United Soccer Club,-,-,-,-,-,-,-,-,1,1,Didier Drogba
2017,USLC,Arizona United Soccer Club,1,2,1,-,2,-,1,1,-,8,Didier Drogba
2016,MLS,Montreal Impact,3,1,1,-,4,-,-,1,-,10,Didier Drogba
2016,Canadian Championship,Montreal Impact,-,-,-,-,-,-,-,1,-,1,Didier Drogba
2015,MLS Cup Playoffs,Montreal Impact,-,-,1,-,-,-,-,-,-,1,Didier Drogba
2015,MLS,Montreal Impact,3,1,1,-,3,3,-,-,-,11,Didier Drogba
14/15,Premier League,Chelsea FC,-,1,-,-,2,-,1,-,-,4,Didier Drogba
14/15,Champions League,Chelsea FC,-,1,-,-,-,-,1,-,-,2,Didier Drogba
14/15,EFL Cup,Chelsea FC,-,-,-,-,1,-,-,-,-,1,Didier Drogba
13/14,Süper Lig,Galatasaray,1,-,-,1,3,5,-,-,-,10,Didier Drogba
13/14,Türkiye Kupasi,Galatasaray,-,-,1,-,-,-,-,-,-,1,Didier Drogba
13/14,Champions League,Galatasaray,-,-,1,1,-,-,-,-,-,2,Didier Drogba
13/14,TFF Süper Kupa,Galatasaray,-,-,-,-,-,-,-,-,1,1,Didier Drogba
12/13,Süper Lig,Galatasaray,-,2,-,-,-,2,1,-,-,5,Didier Drogba
12/13,Champions League,Galatasaray,-,-,-,-,-,1,-,-,-,1,Didier Drogba
2012,Super League,Shanghai Shenhua Liansheng,2,1,-,-,-,2,3,-,-,8,Didier Drogba
11/12,Champions League,Chelsea FC,1,1,-,1,1,-,2,-,-,6,Didier Drogba
11/12,FA Cup,Chelsea FC,-,-,1,-,1,-,-,-,-,2,Didier Drogba
11/12,Premier League,Chelsea FC,-,1,1,-,-,2,-,1,-,5,Didier Drogba
10/11,Premier League,Chelsea FC,1,1,3,1,1,2,2,-,-,11,Didier Drogba
10/11,Champions League,Chelsea FC,-,-,-,-,-,1,1,-,-,2,Didier Drogba
09/10,FA Cup,Chelsea FC,1,-,-,-,1,1,-,-,-,3,Didier Drogba
09/10,Premier League,Chelsea FC,3,2,7,1,3,6,5,2,-,29,Didier Drogba
09/10,Champions League,Chelsea FC,-,1,-,-,-,-,2,-,-,3,Didier Drogba
09/10,EFL Cup,Chelsea FC,-,-,-,-,1,-,1,-,-,2,Didier Drogba
08/09,FA Cup,Chelsea FC,1,1,-,-,-,-,1,-,-,3,Didier Drogba
08/09,Premier League,Chelsea FC,1,-,-,-,2,1,1,-,-,5,Didier Drogba
08/09,Champions League,Chelsea FC,1,-,-,-,1,2,1,-,-,5,Didier Drogba
08/09,EFL Cup,Chelsea FC,-,1,-,-,-,-,-,-,-,1,Didier Drogba
07/08,Champions League,Chelsea FC,1,1,1,-,1,1,-,-,1,6,Didier Drogba
07/08,Premier League,Chelsea FC,2,-,1,-,2,2,1,-,-,8,Didier Drogba
07/08,EFL Cup,Chelsea FC,-,-,1,-,-,-,-,-,-,1,Didier Drogba
06/07,FA Cup,Chelsea FC,-,1,-,-,1,-,-,-,1,3,Didier Drogba
06/07,Premier League,Chelsea FC,3,1,4,1,1,5,4,1,-,20,Didier Drogba
06/07,Champions League,Chelsea FC,-,-,1,-,3,1,-,1,-,6,Didier Drogba
06/07,EFL Cup,Chelsea FC,-,1,-,-,-,-,3,-,-,4,Didier Drogba
05/06,FA Cup,Chelsea FC,-,-,-,-,-,1,-,-,-,1,Didier Drogba
05/06,Premier League,Chelsea FC,1,2,1,-,2,4,2,-,-,12,Didier Drogba
05/06,Champions League,Chelsea FC,-,1,-,-,-,-,-,-,-,1,Didier Drogba
05/06,Community Shield,Chelsea FC,1,-,-,-,1,-,-,-,-,2,Didier Drogba
04/05,Champions League,Chelsea FC,-,-,1,-,1,-,3,-,-,5,Didier Drogba
04/05,Premier League,Chelsea FC,2,3,1,-,-,1,3,-,-,10,Didier Drogba
04/05,EFL Cup,Chelsea FC,-,-,-,-,-,-,-,-,1,1,Didier Drogba
03/04,UEFA Cup,Olympique Marseille,-,1,1,-,2,-,2,-,-,6,Didier Drogba
03/04,Ligue 1,Olympique Marseille,6,3,2,-,2,2,4,-,-,19,Didier Drogba
03/04,Coupe de France,Olympique Marseille,-,-,1,-,-,-,-,-,-,1,Didier Drogba
03/04,Coupe de la Ligue,Olympique Marseille,-,-,1,-,-,-,-,-,-,1,Didier Drogba
03/04,Champions League,Olympique Marseille,-,2,-,-,-,2,1,-,-,5,Didier Drogba
02/03,Ligue 1,EA Guingamp,3,2,2,-,4,4,2,-,-,17,Didier Drogba
02/03,Coupe de France,EA Guingamp,-,1,3,-,-,-,-,-,-,4,Didier Drogba
01/02,Ligue 1,EA Guingamp,-,1,-,-,1,1,-,-,-,3,Didier Drogba
01/02,Ligue 2,Le Mans Union Club 72,-,-,-,-,1,-,4,-,-,5,Didier Drogba
01/02,Coupe de France,Le Mans Union Club 72,1,-,-,-,-,-,-,-,-,1,Didier Drogba
01/02,Coupe de la Ligue,Le Mans Union Club 72,-,-,-,-,-,-,1,-,-,1,Didier Drogba
00/01,Coupe de France,Le Mans Union Club 72,-,-,-,-,-,-,1,-,-,1,Didier Drogba
99/00,Ligue 2,Le Mans Union Club 72,-,1,1,-,2,1,2,-,-,7,Didier Drogba
97/98,Eredivisie,Ajax Amsterdam,-,-,-,-,-,-,1,-,,1,Edwin van der Sar
11/12,LaLiga,Málaga CF,-,-,-,-,-,2,2,-,,4,Ruud van Nistelrooy
11/12,Copa del Rey,Málaga CF,-,-,1,-,-,-,-,-,,1,Ruud van Nistelrooy
10/11,Bundesliga,Hamburger SV,-,-,1,-,4,-,2,-,,7,Ruud van Nistelrooy
10/11,DFB-Pokal,Hamburger SV,-,-,1,-,-,2,-,-,,3,Ruud van Nistelrooy
09/10,Bundesliga,Hamburger SV,-,-,1,-,-,2,2,-,,5,Ruud van Nistelrooy
09/10,Europa League,Hamburger SV,-,-,2,-,-,-,-,-,,2,Ruud van Nistelrooy
09/10,LaLiga,Real Madrid,-,-,-,-,-,-,1,-,,1,Ruud van Nistelrooy
08/09,Champions League,Real Madrid,-,1,-,-,1,1,-,-,,3,Ruud van Nistelrooy
08/09,LaLiga,Real Madrid,1,-,-,-,1,1,1,-,,4,Ruud van Nistelrooy
08/09,Supercopa,Real Madrid,1,-,-,-,1,1,-,-,,3,Ruud van Nistelrooy
07/08,LaLiga,Real Madrid,2,3,3,-,2,4,2,-,,16,Ruud van Nistelrooy
07/08,Champions League,Real Madrid,1,-,-,-,-,3,-,-,,4,Ruud van Nistelrooy
06/07,LaLiga,Real Madrid,4,4,4,-,7,2,4,-,,25,Ruud van Nistelrooy
06/07,Champions League,Real Madrid,-,1,1,-,-,1,3,-,,6,Ruud van Nistelrooy
06/07,Copa del Rey,Real Madrid,-,-,-,-,-,1,1,-,,2,Ruud van Nistelrooy
05/06,Premier League,Manchester United,2,2,4,-,-,7,6,-,,21,Ruud van Nistelrooy
05/06,EFL Cup,Manchester United,1,-,-,-,-,-,-,-,,1,Ruud van Nistelrooy
05/06,Champions League,Manchester United,-,-,-,-,-,-,1,-,,1,Ruud van Nistelrooy
05/06,Champions League Qu.,Manchester United,-,-,-,-,1,-,-,-,,1,Ruud van Nistelrooy
04/05,Premier League,Manchester United,1,-,1,-,-,4,-,-,,6,Ruud van Nistelrooy
04/05,FA Cup,Manchester United,-,1,-,-,1,-,-,-,,2,Ruud van Nistelrooy
04/05,Champions League,Manchester United,1,1,-,-,4,-,1,1,,8,Ruud van Nistelrooy
03/04,FA Cup,Manchester United,-,1,-,-,-,3,2,-,,6,Ruud van Nistelrooy
03/04,Premier League,Manchester United,1,5,6,-,3,1,4,-,,20,Ruud van Nistelrooy
03/04,Champions League,Manchester United,-,-,1,1,1,1,-,-,,4,Ruud van Nistelrooy
02/03,Premier League,Manchester United,3,4,6,-,4,3,5,-,,25,Ruud van Nistelrooy
02/03,Champions League,Manchester United,1,-,3,-,3,4,1,-,,12,Ruud van Nistelrooy
02/03,FA Cup,Manchester United,1,-,-,-,2,-,1,-,,4,Ruud van Nistelrooy
02/03,EFL Cup,Manchester United,-,-,-,-,-,-,1,-,,1,Ruud van Nistelrooy
02/03,Champions League Qu.,Manchester United,1,-,-,-,-,1,-,-,,2,Ruud van Nistelrooy
01/02,Premier League,Manchester United,2,4,7,-,4,3,3,-,,23,Ruud van Nistelrooy
01/02,Champions League,Manchester United,1,-,3,-,-,4,-,2,,10,Ruud van Nistelrooy
01/02,FA Cup,Manchester United,-,-,-,-,-,-,2,-,,2,Ruud van Nistelrooy
01/02,Community Shield,Manchester United,-,-,-,-,1,-,-,-,,1,Ruud van Nistelrooy
00/01,KNVB beker,PSV Eindhoven,-,-,1,-,-,-,1,-,,2,Ruud van Nistelrooy
00/01,Eredivisie,PSV Eindhoven,-,-,-,-,2,-,-,-,,2,Ruud van Nistelrooy
99/00,Eredivisie,PSV Eindhoven,6,5,3,-,8,1,6,-,,29,Ruud van Nistelrooy
99/00,Champions League,PSV Eindhoven,-,-,2,-,-,1,-,-,,3,Ruud van Nistelrooy
98/99,Eredivisie,PSV Eindhoven,5,2,5,-,9,8,2,-,,31,Ruud van Nistelrooy
98/99,KNVB beker,PSV Eindhoven,-,2,1,-,-,1,-,-,,4,Ruud van Nistelrooy
98/99,Champions League,PSV Eindhoven,-,2,-,-,-,1,2,-,,5,Ruud van Nistelrooy
98/99,Champions League Qu.,PSV Eindhoven,1,-,-,-,-,-,-,-,,1,Ruud van Nistelrooy
97/98,KNVB beker,SC Heerenveen,2,-,-,-,1,-,-,-,,3,Ruud van Nistelrooy
97/98,Eredivisie,SC Heerenveen,-,1,1,-,4,2,5,-,,13,Ruud van Nistelrooy
94/95,KNVB beker,FC Den Bosch,2,-,-,-,-,-,-,-,,2,Ruud van Nistelrooy
23/24,UAE Pro League,Emirates Club,-,-,-,-,1,-,-,1,,2,Andrés Iniesta
2022,J1 League,Vissel Kobe,1,1,-,-,-,-,-,-,,2,Andrés Iniesta
21/22,AFC CL-Qualification,Vissel Kobe,1,-,-,-,-,-,-,-,,1,Andrés Iniesta
2021,J1 League,Vissel Kobe,-,1,2,1,-,-,2,-,,6,Andrés Iniesta
2021,J. League Cup,Vissel Kobe,-,-,-,-,-,-,1,-,,1,Andrés Iniesta
19/20,AFC Champions League,Vissel Kobe,-,-,1,-,-,-,1,-,,2,Andrés Iniesta
2020,J1 League,Vissel Kobe,1,1,-,-,1,-,1,-,,4,Andrés Iniesta
2019,Emperor's Cup,Vissel Kobe,1,-,-,-,-,-,-,-,,1,Andrés Iniesta
2019,J1 League,Vissel Kobe,-,1,-,-,1,2,2,-,,6,Andrés Iniesta
2018,J1 League,Vissel Kobe,1,1,-,-,1,-,-,-,,3,Andrés Iniesta
17/18,Copa del Rey,FC Barcelona,-,-,-,-,1,-,-,-,,1,Andrés Iniesta
17/18,LaLiga,FC Barcelona,-,-,-,-,1,-,-,-,,1,Andrés Iniesta
16/17,Champions League,FC Barcelona,-,-,-,-,1,-,-,-,,1,Andrés Iniesta
15/16,LaLiga,FC Barcelona,-,-,-,-,1,-,-,-,,1,Andrés Iniesta
14/15,Copa del Rey,FC Barcelona,-,1,1,-,1,-,-,-,,3,Andrés Iniesta
13/14,LaLiga,FC Barcelona,1,1,1,-,-,-,-,-,,3,Andrés Iniesta
12/13,LaLiga,FC Barcelona,-,-,-,-,2,-,1,-,,3,Andrés Iniesta
12/13,Copa del Rey,FC Barcelona,-,-,-,-,1,1,-,-,,2,Andrés Iniesta
12/13,Champions League,FC Barcelona,-,-,1,-,-,-,-,-,,1,Andrés Iniesta
11/12,Champions League,FC Barcelona,1,-,1,-,1,-,-,-,,3,Andrés Iniesta
11/12,LaLiga,FC Barcelona,-,-,2,-,-,-,-,-,,2,Andrés Iniesta
11/12,Copa del Rey,FC Barcelona,-,1,1,-,-,-,-,-,,2,Andrés Iniesta
11/12,Supercopa,FC Barcelona,1,-,-,-,-,-,-,-,,1,Andrés Iniesta
10/11,LaLiga,FC Barcelona,1,2,2,-,2,-,1,-,,8,Andrés Iniesta
10/11,Champions League,FC Barcelona,1,-,-,-,-,-,-,-,,1,Andrés Iniesta
09/10,LaLiga,FC Barcelona,1,-,-,-,-,-,-,-,,1,Andrés Iniesta
08/09,Champions League,FC Barcelona,-,-,-,-,-,-,-,1,,1,Andrés Iniesta
08/09,LaLiga,FC Barcelona,2,-,-,-,-,2,-,-,,4,Andrés Iniesta
07/08,LaLiga,FC Barcelona,1,1,-,-,1,-,-,-,,3,Andrés Iniesta
07/08,Champions League,FC Barcelona,1,-,-,-,-,-,-,-,,1,Andrés Iniesta
06/07,LaLiga,FC Barcelona,-,-,-,-,2,1,3,-,,6,Andrés Iniesta
06/07,Copa del Rey,FC Barcelona,-,1,-,-,-,-,-,-,,1,Andrés Iniesta
06/07,Champions League,FC Barcelona,1,-,-,-,-,1,-,-,,2,Andrés Iniesta
05/06,Champions League,FC Barcelona,-,-,-,-,-,-,1,-,,1,Andrés Iniesta
04/05,LaLiga,FC Barcelona,1,-,-,-,-,1,-,-,,2,Andrés Iniesta
03/04,LaLiga,FC Barcelona,-,-,-,-,-,-,1,-,,1,Andrés Iniesta
03/04,Copa del Rey,FC Barcelona,1,-,-,-,-,-,-,-,,1,Andrés Iniesta
02/03,2ª B - Grupo III,FC Barcelona B,-,1,-,-,1,1,-,-,,3,Andrés Iniesta
01/02,2ª B - Grupo II,FC Barcelona B,-,1,-,-,-,-,1,-,,2,Andrés Iniesta
23/24,Conference League,Fenerbahce,-,-,-,-,1,1,-,-,-,2,Edin Džeko
23/24,Süper Lig,Fenerbahce,3,1,1,1,-,4,2,-,-,12,Edin Džeko
23/24,UECL Qualifiers,Fenerbahce,-,-,-,-,-,2,-,-,-,2,Edin Džeko
22/23,Champions League,Inter Milan,1,1,1,-,-,1,-,-,-,4,Edin Džeko
22/23,Serie A,Inter Milan,-,1,3,-,2,3,-,-,-,9,Edin Džeko
22/23,Supercoppa Italiana,Inter Milan,-,1,-,-,-,-,-,-,-,1,Edin Džeko
21/22,Serie A,Inter Milan,-,3,-,-,3,5,2,-,-,13,Edin Džeko
21/22,Italy Cup,Inter Milan,1,-,-,-,-,-,-,-,-,1,Edin Džeko
21/22,Champions League,Inter Milan,-,-,1,-,-,2,-,-,-,3,Edin Džeko
20/21,Europa League,AS Roma,1,1,1,-,1,1,1,-,-,6,Edin Džeko
20/21,Serie A,AS Roma,3,-,1,-,-,2,1,-,-,7,Edin Džeko
19/20,Serie A,AS Roma,-,5,2,1,2,4,1,1,-,16,Edin Džeko
19/20,Europa League,AS Roma,-,1,1,-,1,-,-,-,-,3,Edin Džeko
18/19,Serie A,AS Roma,1,2,1,-,-,1,2,2,-,9,Edin Džeko
18/19,Champions League,AS Roma,1,1,2,-,-,-,-,1,-,5,Edin Džeko
17/18,Champions League,AS Roma,2,-,-,-,2,2,2,-,-,8,Edin Džeko
17/18,Serie A,AS Roma,2,3,2,-,3,4,1,1,-,16,Edin Džeko
16/17,Serie A,AS Roma,7,1,2,-,8,5,6,-,-,29,Edin Džeko
16/17,Europa League,AS Roma,2,-,-,-,-,3,3,-,-,8,Edin Džeko
16/17,Italy Cup,AS Roma,-,-,-,-,1,1,-,-,-,2,Edin Džeko
15/16,Serie A,AS Roma,2,1,-,-,-,2,3,-,-,8,Edin Džeko
15/16,Champions League,AS Roma,-,1,-,-,-,-,-,1,-,2,Edin Džeko
14/15,Premier League,Manchester City,1,2,-,-,-,1,-,-,-,4,Edin Džeko
14/15,EFL Cup,Manchester City,-,-,-,-,1,-,1,-,-,2,Edin Džeko
13/14,Premier League,Manchester City,4,-,1,1,5,3,2,-,-,16,Edin Džeko
13/14,FA Cup,Manchester City,-,-,-,-,-,1,1,-,-,2,Edin Džeko
13/14,EFL Cup,Manchester City,-,-,2,-,2,-,1,-,1,6,Edin Džeko
13/14,Champions League,Manchester City,-,-,-,-,1,-,1,-,-,2,Edin Džeko
12/13,Premier League,Manchester City,2,1,3,-,1,2,4,1,-,14,Edin Džeko
12/13,Champions League,Manchester City,-,-,-,-,-,1,-,-,-,1,Edin Džeko
11/12,Premier League,Manchester City,-,1,3,-,4,1,2,3,-,14,Edin Džeko
11/12,Europa League,Manchester City,-,-,-,-,-,-,1,-,-,1,Edin Džeko
11/12,EFL Cup,Manchester City,-,-,1,-,-,2,-,-,-,3,Edin Džeko
11/12,Community Shield,Manchester City,-,-,-,1,-,-,-,-,-,1,Edin Džeko
10/11,Premier League,Manchester City,-,-,-,-,-,2,-,-,-,2,Edin Džeko
10/11,Europa League,Manchester City,2,-,-,-,-,-,-,-,-,2,Edin Džeko
10/11,FA Cup,Manchester City,-,-,-,-,-,-,2,-,-,2,Edin Džeko
10/11,DFB-Pokal,VfL Wolfsburg,-,-,-,-,1,-,-,-,-,1,Edin Džeko
10/11,Bundesliga,VfL Wolfsburg,2,2,1,-,2,1,1,1,-,10,Edin Džeko
09/10,Bundesliga,VfL Wolfsburg,-,2,4,-,3,6,6,1,-,22,Edin Džeko
09/10,Europa League,VfL Wolfsburg,1,-,-,-,-,-,-,-,-,1,Edin Džeko
09/10,Champions League,VfL Wolfsburg,-,1,-,-,2,-,1,-,-,4,Edin Džeko
09/10,DFB-Pokal,VfL Wolfsburg,-,-,-,-,2,-,-,-,-,2,Edin Džeko
08/09,Bundesliga,VfL Wolfsburg,3,2,5,-,2,6,8,-,-,26,Edin Džeko
08/09,DFB-Pokal,VfL Wolfsburg,2,1,1,-,1,1,-,-,-,6,Edin Džeko
08/09,UEFA Cup,VfL Wolfsburg,1,1,1,-,1,-,-,-,-,4,Edin Džeko
07/08,Bundesliga,VfL Wolfsburg,1,2,-,-,2,-,3,-,-,8,Edin Džeko
07/08,DFB-Pokal,VfL Wolfsburg,-,-,-,-,-,1,-,-,-,1,Edin Džeko
06/07,Fortuna Liga,FK Teplice,1,1,3,-,4,2,2,-,-,13,Edin Džeko
05/06,Fortuna Liga,FK Teplice,1,-,-,-,-,1,1,-,-,3,Edin Džeko
12/13,Premier League,Manchester United,1,-,-,-,-,-,1,-,-,2,Ryan Giggs
12/13,FA Cup,Manchester United,1,-,-,-,-,-,-,-,-,1,Ryan Giggs
12/13,EFL Cup,Manchester United,-,1,-,-,-,-,-,-,1,2,Ryan Giggs
11/12,Premier League,Manchester United,-,-,1,-,-,-,-,1,-,2,Ryan Giggs
11/12,EFL Cup,Manchester United,-,-,1,-,-,-,-,-,-,1,Ryan Giggs
11/12,Champions League,Manchester United,-,-,1,-,-,-,-,-,-,1,Ryan Giggs
10/11,Champions League,Manchester United,-,-,-,-,-,1,-,-,-,1,Ryan Giggs
10/11,Premier League,Manchester United,-,-,-,1,-,-,1,-,-,2,Ryan Giggs
10/11,FA Cup,Manchester United,1,-,-,-,-,-,-,-,-,1,Ryan Giggs
09/10,Premier League,Manchester United,-,1,1,-,1,-,2,-,-,5,Ryan Giggs
09/10,EFL Cup,Manchester United,-,1,-,-,-,-,-,-,-,1,Ryan Giggs
09/10,Champions League,Manchester United,-,-,-,-,1,-,-,-,-,1,Ryan Giggs
08/09,Premier League,Manchester United,-,1,-,-,-,1,-,-,-,2,Ryan Giggs
08/09,Champions League,Manchester United,-,-,-,-,-,-,1,-,-,1,Ryan Giggs
08/09,EFL Cup,Manchester United,-,-,-,-,-,-,1,-,-,1,Ryan Giggs
07/08,Premier League,Manchester United,-,-,1,-,-,1,1,-,-,3,Ryan Giggs
07/08,Community Shield,Manchester United,-,-,1,-,-,-,-,-,-,1,Ryan Giggs
06/07,Premier League,Manchester United,1,1,-,-,1,-,1,-,-,4,Ryan Giggs
06/07,Champions League,Manchester United,-,-,-,-,-,1,1,-,-,2,Ryan Giggs
05/06,Premier League,Manchester United,2,-,-,-,-,-,-,-,-,2,Ryan Giggs
05/06,FA Cup,Manchester United,-,-,-,-,-,1,-,-,-,1,Ryan Giggs
05/06,Champions League,Manchester United,-,-,1,-,-,-,-,-,-,1,Ryan Giggs
04/05,Premier League,Manchester United,1,1,2,-,-,-,1,-,-,5,Ryan Giggs
04/05,EFL Cup,Manchester United,-,-,-,-,-,1,-,-,-,1,Ryan Giggs
04/05,Champions League,Manchester United,1,-,-,-,-,-,-,-,-,1,Ryan Giggs
04/05,Champions League Qu.,Manchester United,-,-,1,-,-,-,-,-,-,1,Ryan Giggs
03/04,Premier League,Manchester United,-,1,1,-,1,3,1,-,-,7,Ryan Giggs
03/04,Champions League,Manchester United,-,-,-,-,1,-,-,-,-,1,Ryan Giggs
02/03,Premier League,Manchester United,1,1,1,-,1,2,2,-,-,8,Ryan Giggs
02/03,Champions League,Manchester United,2,1,1,-,-,1,-,-,-,5,Ryan Giggs
02/03,FA Cup,Manchester United,1,1,-,-,-,-,-,-,-,2,Ryan Giggs
01/02,Champions League,Manchester United,-,-,-,-,-,1,1,-,-,2,Ryan Giggs
01/02,Premier League,Manchester United,1,1,-,-,3,1,1,-,-,7,Ryan Giggs
00/01,Premier League,Manchester United,-,1,1,-,-,2,1,-,-,5,Ryan Giggs
00/01,Champions League,Manchester United,-,-,-,-,1,-,1,-,-,2,Ryan Giggs
99/00,Premier League,Manchester United,1,2,-,-,1,1,1,-,-,6,Ryan Giggs
99/00,Champions League,Manchester United,-,-,1,-,-,-,-,-,-,1,Ryan Giggs
98/99,FA Cup,Manchester United,-,-,-,-,-,-,1,-,1,2,Ryan Giggs
98/99,Champions League,Manchester United,1,2,-,-,-,-,-,1,-,4,Ryan Giggs
98/99,Premier League,Manchester United,-,-,1,-,-,1,1,-,-,3,Ryan Giggs
98/99,Champions League Qu.,Manchester United,-,1,-,-,-,-,-,-,-,1,Ryan Giggs
97/98,Premier League,Manchester United,1,1,2,-,2,1,1,-,-,8,Ryan Giggs
97/98,Champions League,Manchester United,-,-,-,-,-,-,1,-,-,1,Ryan Giggs
96/97,Champions League,Manchester United,-,1,-,-,-,1,-,-,-,2,Ryan Giggs
96/97,Premier League,Manchester United,-,-,1,-,1,-,1,-,-,3,Ryan Giggs
